Internal SKU,Brand/Vendor,Product Type,Product Title,Price (USD)
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in Indigo Raindrop Sashiko,138.0
INF-TYS-TOU-2026,Taylor Stitch,Accessories,The Tour Belt in Washed Saddle,108.0
INF-TYS-BAN-2026,Taylor Stitch,Accessories,The Bandana in Faded Black Stamp,45.0
INF-TYS-6-P-2026,Taylor Stitch,Accessories,The 6-Panel Trucker Cap in Emerald Mesh,68.0
INF-TYS-MER-2026,Taylor Stitch,Accessories,The Mercer Cap in Bud Green Twill,68.0
INF-TYS-MER-2026,Taylor Stitch,Accessories,The Mercer Cap in Delta Blue Twill,68.0
INF-TYS-GRA-2026,Taylor Stitch,Accessories,The Grateful Dead ‘65 Patch Set,48.0
INF-TYS-GRA-2026,Taylor Stitch,Accessories,The Grateful Dead Bolt Patch Set,48.0
INF-TYS-MAG-2026,Taylor Stitch,Accessories,The Magoo’s Pin Set,48.0
INF-TYS-ACI-2026,Taylor Stitch,Accessories,The Acid Test Pin Set,48.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Tee in Dead Script,65.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Tee in Team Dead,65.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Tee in Lemon Stamp,65.0
INF-TYS-STA-2026,Taylor Stitch,Wovens,The Stageworn Jack in Pale Rose Oxford,168.0
INF-TYS-HAI-2026,Taylor Stitch,Outerwear,The Haight Jacket in Light Wash Hemp Denim,238.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Deep Sea Seersucker,128.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Brick Check Seersucker,128.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Burgundy Linen,135.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Ocean Linen,135.0
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in Driftwood Eyelet,138.0
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in Vintage White Embroidered Stripe,138.0
INF-TYS-DAV-2026,Taylor Stitch,Wovens,The Davis Shirt in Navy Floral Embroidery,138.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Sangria Block Print,118.0
INF-TYS-APR-2026,Taylor Stitch,Bottoms,The Apres Short in Fennel Block Print,118.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Sangria Block Print,135.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Fennel Block Print,135.0
INF-TYS-LEG-2026,Taylor Stitch,Accessories,The Legend in Grey Smoke,195.0
INF-TYS-LEG-2026,Taylor Stitch,Accessories,The Legend in Tokyo Tortoise,195.0
INF-TYS-LEG-2026,Taylor Stitch,Accessories,The Legend in Green Tortoise,195.0
INF-TYS-MON-2026,Taylor Stitch,Knits,The Monterey Sweater Polo in Deep Sea Geo Crochet,148.0
